mission,label,reason
"ST. ANDREWS HOSPITAL IS A 25 BED CRITICAL ACCESS HOSPITAL. THE HOSPITAL OPERATIONS PROVIDE BOTH ACUTE CARE AND REHABILITATIVE CARE IN ITS INPATIENT SETTING. OUTPATIENT SERVICES INCLUDE EMERGENCY CARE, GENERAL SURGERY, PHYSICAL THERAPY, OCCUPATIONAL THERAPY, SPEECH THERAPY, CARDIOPULMONARY SERVICES, DIAGNOSTIC IMAGING, LABORATORY, AND PHARMACY. (CONTINUED ON SCHEDULE O) CONTINUED FROM FORM 990, PART III, LINE 4A STATISTICS FOR THE YEAR ENDED SEPTEMBER 30, 2010: PATIENT DAYS: ADULT & CHILDREN:3,085 NURSING FACILITY: 10,751 DISCHARGES: 142 DEPARTMENT AMOUNT STATISTICS OPERATING ROOM 280 PROCEDURES LABORATORY 21,418 TESTS CARDIOPULMONARY 754 PROCEDURES CT SCANS 751 PROCEDURES RADIOLOGY 3,625 PROCEDURES REHABILITATION SERVICES 4,397 VISITS OUTPATIENT DEPARTMENTS: EMERGENCY ROOM 3,334 VISITS FAMILY CARE CENTER 19,637 CHARGES FAMILY CARE CENTER 8,830 VISITS MENTAL HEALTH SERVICES 1,291 CHARGES PLEASE SEE ATTACHED COMMUNITY BENEFITS STATEMENT ST. ANDREWS HOSPITAL INCLUDES PRIMARY CARE SERVICES PROVIDED BY A TEAM OF FOUR PHYSICIANS AND ONE MID-LEVEL, AND ALSO INCLUDES BEHAVIORAL HEALTH SERVICES AT ITS JOHN F. ANDREWS FAMILY CARE CENTER. ST. ANDREWS HOSPITAL OFFERS LONG TERM CARE SERVICES AT ST. ANDREWS VILLAGE COMMUNITY. IT INCLUDES 12 ASSISTED LIVING UNITS, 30 INDEPENDENT LIVING APARTMENTS, 11 DEMENTIA CARE BEDS, ADULT DAY SERVICES, AND 30 LONG-TERM CARE BEDS. STATISTICS FOR THE YEAR: ASSISTED LIVING 3,895 DAYS, INDEPENDENT LIVING 8,809 DAYS, DEMENTIA CARE 3,617 DAYS, AND ADULT DAY SERVICES 875 HOURS. OCCUPATIONAL HEALTH EXPENSES 1,884 AND REVENUE 807.",0,The summary focuses on healthcare services and statistics without any mention of religious or faith-based concepts.
"WALDO COUNTY GENERAL HOSPITAL PROVIDES QUALITY AND AFFORDABLE HEALTH CARE SERVICES TO IMPROVE THE HEALTH AND WELL BEING OF THE COMMUNITIES IT SERVES, REGARDLESS OF THE PATIENT'S ABILITY TO PAY. A BROAD SPECTRUM OF SERVICES ARE PROVIDED INCLUDING HOSPITAL ACUTE INPATIENT CARE; ANCILLARY OUTPATIENT DIAGNOSTIC SERVICES INCLUDING LABORATORY AND RADIOLOGY; THERAPEUTIC SERVICES INCLUDING PHYSICAL THERAPY, SPEECH, AUDIOLOGY, SLEEP, AND RESPIRATORY THERAPY; ONCOLOGY CLINICS; EMERGENCY SERVICES; INPATIENT HOSPITALIST CARE, INPATIENT HOSPICE; AND SURGICAL INPATIENT AND OUTPATIENT SERVICES. THE HOSPITAL PROVIDED 4,940 DAYS OF ADULT AND NEWBORN INPATIENT CARE, AND 69,661 OUTPATIENT VISITS INCLUDING 506,399 OUTPATIENT PROCEDURES AND EXAMS. (CONTINUED ON SCHEDULE O) CONTINUED FROM FORM 990, PART I, LINE 1 AND PART III, LINE 1 OUR MISSION IS TO BE THE BEST - BETTER, EMPATHY, SERVICE AND TEAMWORK - PRINCIPLES THAT GUIDE STAFF MEMBERS IN THEIR INTERACTIONS WITH PATIENTS, PATIENT FAMILIES AND COWORKERS. ALTHOUGH REIMBURSEMENT FOR SERVICES RENDERED IS CRITICAL TO THE OPERATION AND STABILITY OF WALDO COUNTY GENERAL HOSPITAL, IT IS RECOGNIZED THAT NOT ALL INDIVIDUALS POSSESS THE ABILITY TO PURCHASE ESSENTIAL MEDICAL SERVICES. WE PROVIDE QUALITY CARE TO ALL PATIENTS, REGARDLESS OF THE INABILITY TO PAY. WALDO COUNTY GENERAL HOSPITAL OFFERS MANY FREE OR LOW COST HEALTH SERVICES, INCLUDING: CASE MANAGEMENT OF CHRONIC DISEASES, FAMILY WELLNESS FAIRS, EXERCISE AND FITNESS CLASSES, BLOOD PRESSURE CLINICS, IMMUNIZATIONS, HEALTH INFORMATION LIBRARY, WOMEN HEALTHCARE CONFERENCES, MAMMOGRAMS, HEALTH INFORMATION LIBRARY, ONCOLOGY PATIENT ASSISTANCE FUNDING AND SUPPORT GROUPS. MANY OF THE COMMUNITY-BUILDING ACTIVITIES WE OFFER INCLUDE: COMMUNITY-WIDE EMERGENCY PREPAREDNESS PLANNING AND DRILLS, BOOKS FOR BABES AND RAISING READERS PROGRAMS, HOSPITAL TOURS FOR SECOND GRADERS, COMMUNITY NEWSLETTERS, BABY FAIRS, AMERICAN RED CROSS BLOOD DRIVE SPONSORSHIPS, ETC. OUR CHARITABLE GIVING HAS REACHED TO THE FOLLOWING COMMUNITY ORGANIZATIONS: ACTIVE OLDER ADULTS, BELFAST AREA CHAMBER OF COMMERCE, BELFAST ROTARY, BOY SCOUTS OF AMERICA, HABITAT FOR HUMANITY, SPURWINK HUMANITARIAN EVENT, STOCK THE SHELVES FOOD CHALLENGE, TOYS FOR TOTS, WALDO COUNTY ONCOLOGY WALK AND YMCA HEALTHY KIDS DAY. PLEASE SEE THE ATTACHED COMMUNITY BENEFITS STATEMENT. WALDO COUNTY GENERAL HOSPITAL EMPLOYS MANY HOSPITAL-BASED PHYSICIANS AND PROVIDES THE FOLLOWING SPECTRUM OF PHYSICIAN PATIENT CARE SERVICES: FAMILY MEDICINE, GENERAL SURGERY, INTERNAL MEDICINE, ORTHOPEDICS, NEUROLOGY, OB/GYN, PODIATRY, CARDIOLOGY, UROLOGY, PULMONOLOGY, OTOLARYNGOLOGY AND ONCOLOGY. OUR PHYSICIANS PROVIDED CARE TO PATIENTS DURING 25,171 PHYSICIAN-OFFICE PATIENT VISITS. WALDO COUNTY GENERAL HOSPITAL OFFERS THE COMMUNITY IT SERVES FIVE HEALTH CENTERS: ARTHUR JEWELL COMMUNITY HEALTH CENTER, STOCKTON SPRINGS REGIONAL HEALTH CENTER, DONALD S. WALKER HEALTH CENTER, LINCOLNVILLE REGIONAL HEALTH CENTER AND SEARSPORT HEALTH CENTER. WE PROVIDED HEALTHCARE SERVICES TO PATIENTS DURING 19,759 HEALTH CENTER VISITS.",0,The summary focuses on healthcare services and community health initiatives without any mention of religious or faith-based concepts.
"SOUTHERN MAINE HEALTH CARE OPERATES TWO HOSPITAL FACILITES WITH A TOTAL OF 208 BEDS, WHICH STRIVES TO MEET THE HEALTH CARE NEEDS OF IDIVIDUALS AND FAMILIES THROUGHOUT YORK COUNTY. SMHC OFFERS A BROAD RANGE OF MEDICAL, SURGICAL, DIAGNOSTIC, CLINICAL AND REHABILITATION SERVICES, WELLNESS EDUCATION, SUPPORT GROUPS AND OTHER COMMUNITY OUTREACH PROGRAMS. SMHC HAD 55,708 EMERGENCY ROOM VISITS, 117,689 RADIOLOGICAL PROCEDURES, AND 7,563 SURGICAL CASES. THIS INCLUDES PATIENTS WHO ARE UNDERINSURED OR THOSE WITHOUT INSURANCE. IN ADDITION TO THE CHARITABLE CARE SERVICES, WE ARE CONTINUALLY (CONTINUED ON SCHEDULE O) (CONTINUATION) ABSORBING ALL THE COSTS ASSOCIATED WITH PROVIDING THE COMMUNITY WITH A VARIETY OF SPECIAL COMPLIMENTARY EDUCATIONAL AND INFORMATIONAL SERVICES. SMHC PROUDLY SPONSORS COMMUNITY ORGANIZATIONS, SCHOOL GROUPS, CIVIC ORGANIZATIONS AND SPECIAL EVENTS (LIKE THE LOCAL BASEBALL TEAM). SMHC SPONSORS TWO TO FOUR FREE EDUCATION EVENTS EACH MONTH OF THE YEAR ALONG WITH DOZENS OF SUPPORT GROUPS. SMHC ALSO ROUTINELY PARTICIPATES IN HEALTH FAIRS AND BUSINESS EVENTS, PERFORMING BLOOD PRESSURE CHECKS, CHOLESTEROL SCREENINGS AND CPR TRAINING. SMHC'S SENIOR ADVOCATE PROVIDES FREE ADVICE AND SERVICES TO ELDERLY MEMBERS OF THE COMMUNITY. SERVICES INCLUDE HELP WITH INSURANCE AND MEDICAL ISSUES, AS WELL AS PERSONAL ISSUES INCLUDING TAX INFORMATION, FINANCES AND HOME NEEDS. SMHC PHYSICIAN SERVICES CONSISTS OF MANY PHYSICIANS WITH MULTI-SPECIALTY SERVICES IN DIFFERENT LOCATIONS THROUGHOUT YORK COUNTY. THESE PHYSICIANS COMPLIMENT THE HOSPITAL IN MAINTAINING ITS MISSION TO SERVE AS A LEADER IN IMPROVING THE HEALTH AND WELL-BEING OF OUR COMMUNITY BY SERVING THE POPULOUS. THESE SPECIALTIES INCLUDE (BUT ARE NOT LIMITED TO) CARDIOLOGY, EAR, NOSE AND THROAT, FAMILY PRACTICES, WOMEN'S HEALTH, INTERNAL MEDICINE, PEDIATRICS, ORTHOPEDIC AND GENERAL SURGERY. SMHC PHYSICIAN SERVICES HAD 280,657 OFFICE VISITS AND 27,492 WALK-IN CARE VISITS. SMHC ELDERCARE SERVICES PROVIDE LONG-TERM CARE, MEDICAL SERVICES, AND DAYCARE TO OUR SENIOR CITIZENS. ELDERCARE HAD A TOTAL OF 30,819 PATIENT DAYS. WE CONTINUE TO GROW AND ADAPT TO THE NEEDS OF OUR COMMUNITY WITH THESE SERVICES. SMHC ELDERCARE PRIDES THEMSELVES BY CREATING A HOME-LIKE, COMFORTABLE ENVIRONMENT FOR THE RESIDENTS AND STAFF. THE NEWTON CENTER FOR REHABILITATION AND NURSING CARE PROMOTES HIGH QUALITY CARE; WITH DEDICATED STAFF, FAMILY EDUCATION AND INVOLVEMENT MAKE THIS PROGRAM SPECIAL. OTHER PROGRAM SERVICES INCLUDE: PHYSICIAN PRACTICES, SURGICAL SERVICES, IMAGING SERVICES, CARDIOPULMONARY SERVICES, LABOR AND DELIVERY SERVICES, LABORATORY, EMERGENCY SERVICES AND REHAB SERVICES.",0,The summary focuses on healthcare services and community outreach without any mention of religious or faith-based concepts.
"ALL OF THE INCOME DERIVES FROM THE CONDUCT OF AN ANNUAL AGRICULTURAL FAIR DURING THE MONTH OF OCTOBER. A TOTAL OF ABOUT 350,000 PEOPLE ATTEND. THE SOLE PURPOSE OF THE FAIR IS TO EDUCATE PARTICIPANTS AND THE GENERAL PUBLIC IN THE FIELD OF AGRICULTURE AND RELATED INDUSTRIES.",0,The summary focuses on a secular agricultural fair aimed at education and does not mention any religious or faith-based concepts.
"THROUGH THE USE OF FEDERAL, STATE, AND LOCAL GRANTS WIC IS IMPROVING THE QUALITY OF LIFE OF RESIDENTS OF THE TOWN OF WINDSOR AND SURROUNDING AREA BY REVITALIZING THE TOWN, REDEVELOPING AND IMPROVING THE COMMUNITY'S BUSINESS AND ECONOMIC BASE, PRESERVING AND ENHANCING THE COMMUNITY'S ENVIRONMENTAL AND HISTORIC RESOURCES, BUILDING A POSITIVE IMAGE FOR THE COMMUNITY, AND INFORMING THE PUBLIC AND INVOLVING THEM IN SUCH REVITALIZATION. IN ADDITION, WIC OPERATES A FARMERS MARKET WHICH ALLOWS LOCAL FARMERS AND ARTISANS TO DISTRIBUTE THEIR GOODS.",0,"The summary focuses on community revitalization, economic development, and local markets without any mention of religious or faith-based concepts."
RESIDENTS CAMPING EXPERIENCE,0,"The summary focuses on a camping experience, which is a secular activity and does not mention any religious or faith-based concepts."
"TO EDUCATE PUBLIC AND PARTICIPANTS. PROMOTE AGRICULTURE, HORTICULTURE, HOUSEHOLD AND MECHANICAL ARTS. TO PROMOTE AND DEVELOP BETTER PRODUCTS THROUGH PRIZES, EXHIBITIONS AND MERITORIOUS PRODUCTIONS AND OTHER ACTIVITIES TO DRAW THE PUBLIC TO THE FAIR INCLUDING AMUSEMENTS AND HORSE RACING.",0,"The summary focuses on promoting agriculture, horticulture, and mechanical arts, which are secular activities without any religious or faith-based motivation."
"COMMUNITY-BASED VISION REHABILITATION SERVICES PROGRAM: THE COMMUNITY-BASED REHABILITATION SERVICES PROGRAM EVALUATES CONSUMER NEEDS BASED UPON FUNCTIONAL VISION LOSS AND DEVELOPS A PROGRAM OF INDIVIDUALIZED SERVICES PROVIDED BY NATIONALLY CERTIFIED PROFESSIONAL VISION REHABILITATION THERAPISTS. THESE SERVICES ALLOW INDIVIDUAL CONSUMERS WHO MAY BE TRANSITION-AGE YOUTH, WORKING-AGE ADULTS OR SENIOR CITIZENS TO CARRY ON THE FUNCTIONS NECESSARY TO MAINTAIN THE LEVEL OF INDEPENDENCE THEY DESIRE. PROGRAM SERVICES ARE DELIVERED IN THE CONSUMER'S COMMUNITY THROUGHOUT THE STATE OF MAINE ON AN ITINERANT BASIS AND INCLUDE VISION REHABILITATION THERAPY AND COUNSELING IN THE AREA OF ADJUSTMENT TO BLINDNESS. THE VISION REHABILITATION THERAPY COMPONENT ADDRESSES MULTIPLE AREAS OF LEARNING INCLUDING COMMUNICATIONS, ADAPTIVE KITCHEN SKILLS, HOME MANAGEMENT, PERSONAL MANAGEMENT, RECREATION, ORIENTATION AND MOBILITY TRAINING, AND THE USE OF VIDEO MAGNIFICATION EQUIPMENT AND SCREEN READING SOFTWARE AS APPROPRIATE. RESIDENT SUPPORT SERVICES PROGRAM: THE IRIS NETWORK PROVIDES ONGOING RESIDENT SUPPORT SERVICES TO CERTAIN VISUALLY IMPAIRED OR BLIND RESIDENTS OF IRIS PARK APARTMENTS WHO ALSO HAVE ADDITIONAL DISABILITIES. IRIS PARK APARTMENTS FEATURES (30) ONE AND TWO BEDROOM INDEPENDENT LIVING APARTMENTS WHICH ARE SEPARATELY OWNED BUT MANAGED BY THE IRIS NETWORK. VISUALLY IMPAIRED OR BLIND TENANTS WITH MULTIPLE DISABILITIES ARE ABLE TO LIVE AS INDEPENDENTLY AS THEY DESIRE, SCHEDULE THEIR OWN ACTIVITIES, AND CREATE A PERSONAL PLAN FOR ASSISTED LIVING SERVICES. THE IRIS NETWORK OFFERS VISION REHABILITATION THERAPY TO PROVIDE TENANTS SUPPORT IN ALL AREAS OF INDEPENDENT LIVING. THE RESIDENT SUPPORT SERVICES PROGRAM AT IRIS PARK APARTMENTS IS DIFFERENT FROM THE REST OF THE PROGRAMS OFFERED BY THE IRIS NETWORK IN THAT THESE SERVICES ARE OFFERED ON AN ONGOING BASIS, RATHER THAN AS INSTRUCTION OR TEACHING DESIGNED TO ALLOW CLIENTS TO LEARN NEW SKILLS AND USE THOSE SKILLS INDEPENDENTLY AFTER SERVICES HAVE BEEN RECEIVED. LOW-VISION CLINIC PROGRAM: THE IRIS NETWORK'S LOW-VISION CLINIC PROVIDES VISUALLY IMPAIRED PERSONS WITH THE SKILLS AND TOOLS TO BETTER UTILIZE THEIR REMAINING VISION. AFTER A LOW-VISION EXAMINATION, AN OPHTHALMOLOGIST OR OPTOMETRIST DEVELOPS A SPECIALIZED TREATMENT PROGRAM FOR EACH CLIENT ADMINISTERED BY AN OCCUPATIONAL THERAPIST WITH SPECIALIZED TRAINING IN LOW-VISION SERVICES. THE PROGRAM HELPS INDIVIDUALS EXPERIENCING VISION LOSS TO MAXIMIZE THE USE OF THEIR REMAINING VISION BY TRAINING EACH CLIENT IN THE SKILLS REQUIRED TO USE OPTICAL AIDS AND EQUIPMENT SUCH AS MAGNIFIERS TO READ THE NEWSPAPER OR LABELS ON PRESCRIPTION MEDICATIONS, TELESCOPES TO FOCUS ON DISTANT SIGNS, AND LIGHT-FILTERED LENSES TO REDUCE GLARE. ACCESS TECHNOLOGY AND EMPLOYMENT SERVICES PROGRAM: THE IRIS NETWORK'S ACCESS TECHNOLOGY AND EMPLOYMENT SERVICES PROGRAM HAS TWO COMPONENTS. IT IS PRIMARILY DESIGNED TO TEACH PEOPLE WHO ARE BLIND OR VISUALLY IMPAIRED TO USE ASSISTIVE TECHNOLOGY TO ACCESS INFORMATION NEEDED TO CARRY OUT THEIR JOBS, OR TO OBTAIN COMPETITIVE EMPLOYMENT. THE ACCESS TECHNOLOGY AND EMPLOYMENT SERVICES PROGRAM ALSO PROVIDES ASSISTANCE TO EMPLOYERS WISHING TO MAKE REASONABLE ACCOMMODATIONS TO ENABLE EMPLOYEES WITH VISION LOSS TO WORK OR CONTINUE WORKING. OUR HIGHLY TRAINED PROFESSIONALS TEACH THE USE OF SCREEN MAGNIFICATION AND SCREEN READING TECHNOLOGY AS WELL AS THE USE OF ENVIRONMENTAL ADJUSTMENTS TO MAKE THE WORKPLACE ACCESSIBLE TO PEOPLE WITH LOW VISION OR BLINDNESS.",0,"The summary focuses on vision rehabilitation services and support for visually impaired individuals, with no mention of religious or faith-based concepts."
"Provided healthcare services regardless of ability to pay as well as education and promotion of health. Provided $4,393,042 of other uncompensated care (at cost).Admissions 2,234Patient Days 9,694Average Stay 4.3 daysClinic Visits:Eleanor Widener Dixon Memorial Clinic 8,600S.W. Harbor Medical Center 5,134Emergency Room Visits 14,607Surgical Cases - Inpatient 360Surgical Cases - Outpatient 1,347Laboratory Tests: 211,815Radiology Exams:Diagnostic Radiology 17,712Ultrasound 4,679CT Scan 6,866Mammography 3,842Nuclear Medicine 508MRI 1,928Physical, Occupational & Speech Therapy 77,939Births 213 Experienced Medicare shortfall (at cost). 8,282 persons served. Experienced Medicaid shortfall (at cost). 4,115 persons served.",0,The summary focuses on healthcare services and does not mention any religious or faith-based concepts.
Revenues are raised and used to develop and foster an interest in theater and the performing arts within the community. Several major and short run plays were produced.,0,"The summary focuses on theater and performing arts, which are secular activities, without any mention of religious or faith-based concepts."
"THE WOMEN'S BOARD OPERATES THE PAVILION GRILL, THE KIOSK, VENDING, A GIFT SHOP, AND A BOUTIQUE AT MAINE MEDICAL CENTER, A 501(C)3 ORGANIZATION. THESE SERVICES ARE PROVIDED FOR THE CONVENIENCE OF MAINE MEDICAL CENTER PATIENTS,VISITORS, EMPLOYEES AND FAMILIES. THE WOMEN'S BOARD OF THE MAINE GENERAL HOSPITAL MAINTAINS A TREASURER'S ACCOUNT FOR THE DISBURSEMENT OF GRANTS THAT PROVIDES SERVICES FOR THE BENEFIT OF MAINE MEDICAL CENTER. BENEFITS INCLUDE EQUIPMENT NEEDS, CLINIC NEEDS, MEMORIAL FUNDS, AND CAPITAL CAMPAIGNS. ANNUAL SCHOLARSHIPS ARE ALSO AWARDED TO NURSING, MEDICAL AND SURGICAL TECHNOLOGY STUDENTS.",0,The summary focuses on healthcare services and support for medical center operations without any mention of religious or faith-based concepts.
