mission,label,reason
provide housing for elderly women in androscoggin county maine,0,"The mission focuses on providing housing, which is a secular activity and does not mention any religious or faith-based motivation."
the mission of united way of eastern maine is to improve lives by mobilizing the caring power of people and communities we will achieve our mission through three key strategies - improving the health education and income of people in the five counties we serve,0,"The mission focuses on improving health, education, and income, which are secular activities and does not mention any religious or faith-based concepts."
provision of school services,0,"The mission focuses on providing school services, which is a secular activity and does not indicate any religious motivation."
providing adult children and family mental health and social services providing home health and hospice services,0,"The mission focuses on mental health and social services, which are secular activities."
bangor theological seminary is an ecumenical seminary in the congregational tradition of the united church of christit is committed to:equip men and women for the work of christian ministriesserve as an intellectual center for the continuing sustenance and transformation of the church and the world provide for the study of religion embody a public ministry within the local communities of northern new england,1,"The mission mentions 'Christian ministries', 'study of religion', and is focused on equipping individuals for religious work, indicating a strong religious emphasis."
the bangor ymca is a community leader in supporting children adults and families in their lifelong quest for physical emotional and social wellness the y is an essential collaborative leader that strengthens the foundation of our region by being the champion for youth development healthy living and social responsibility we currently serve more than 10000 people through our membership and participants,0,"The mission focuses on physical, emotional, and social wellness, emphasizing community support and development without any religious or faith-based language."
the mission of the mount desert island ymca is to develop community character personal growth and wellness in spirit mind and body for the greater mount desert island community,0,"The mission focuses on community character, personal growth, and wellness without mentioning any religious concepts or faith-based motivations."
promote and provide access to the bible,1,"The mission mentions the Bible, which is a religious text."
support preservation of historic buildings,0,"The mission focuses on the preservation of historic buildings, which is a secular activity and does not mention any religious or faith-based concepts."
provide safe fun innovative youth development programs using the national boy scouts of america outdoor program as a basis for teaching life long skills and instilling ethical behaviors in young men and women beginning at the age of 6 and continuing through the age of 21 it is the mission of the organization to deliver the boy scout program to the six northern and eastern counties providing youth in its service area with organized outdoor activities designed to teach self reliance and instill lifelong values that encourage young adults to make ethical choices throughout their lives,0,The mission focuses on youth development and outdoor activities without any religious or faith-based references.
prepare young people to make ethical choices over their lifetimes by instilling the values of the scout oath & law,0,"The mission focuses on instilling ethical values and choices, which is secular in nature and does not mention religious concepts."
to provide exceptional healthcare services in a safe and trustful environment through the expertise commitment and compassion of our family of caregivers,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
colby seeks to provide a unique educational experience and a broad acquaintance with human knowledge to enable each student to fulfill his or her own unique potential,0,The mission focuses on providing an educational experience and does not mention any religious or faith-based concepts.
library and museum services,0,"The mission focuses on library and museum services, which are secular activities."
eastern maine medical center strives to provide exceptional primary and specialty healthcare with a passionate pursuit of excellence in patient safety clinical quality and service our mission is to care for patients families communities and one another,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
we are a free public library serving the people of eastport me and the surronding communities the population is estimated to be 3500 people,0,"The mission focuses on providing library services, which is a secular activity."
to provide high-quality cost-effective patient-centered healthcare to our west central maine community we work with our community and other healthcare providers to integrate services and ensure the health of our community,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
fryeburg academy is an independent secondary school that serves a widely diverse population of local day students and boarding students from across the nation and around the world the academy believes that a strong school community (see schedule o for continuation)provides the best conditions for learning and growth therefore we strive to create a supportive school environment that promotes respect tolerance and cooperation and prepares students for responsible citizenship within this context the academy's challenging and comprehensive academic program enriched by a varied co-curriculum provides the knowledge and skills necessary for success in higher education and the workplace,0,The mission focuses on education and creating a supportive school environment without any religious or faith-based references.
the corporation's purpose is to serve youth at risk of failure as adults by helping them develop home-living skills in a safe and stable home environment by providing them with the positive and motivational educational experiences and by attending to their physical vocational moral and spiritual development,1,"The mission emphasizes moral and spiritual development, which aligns with religious concepts."
gould academy prepares academically motivated students for college and helps them to become independent-minded ethical citizens who will lead lives of purpose action excellence and compassion in a dynamic world the school serves approximately 210 boarding and day students,0,The mission focuses on education and personal development without any religious or faith-based references.
to provide housing and services that enhance a person's quality of life respect personal dignity and accommodate the need for privacy and self-determination in doing so we aim to respond to the individual's changing needs brought about through aging,0,"The mission focuses on providing housing and services related to quality of life and aging, which are secular activities without religious motivation."
the purposes of the laboratory are scientific medical charitable and educational our mission is to discover precise genomic solutions for disease and empower the global biomedical community in its shared quest to improve human health,0,"The mission focuses on scientific medical and educational purposes, with no mention of religious or faith-based concepts."
supporting and offering educational and community projects for the jewish community,1,"The mission mentions supporting the Jewish community, which indicates a religious focus."
long-term care,0,The mission focuses on healthcare services and does not mention any religious or faith-based concepts.
the maine historical society preserves the heritage and history of maine: the stories of maine people the traditions of maine communities and the record of maine's place in a changing world because an understanding of the past is vital to a healthy and progressive society we collect care for and exhibit historical treasures; facilitate research into family local state and national history; provide education programs that make history meaningful accessible and enjoyable; and empower others to preserve and interpret the history of their communities and our state,0,"The mission focuses on preserving history and heritage, which are secular activities, without any mention of religious or faith-based concepts."
the organization's mission is to educate students in mind body and spirit in order to: 1) prepare them for the challenges and opportunities of higher education; 2) help them learn to love and respect themselves and their fellow students and to care for those in less fortunate circumstances; 3) teach them to be responsible stewards of our natural heritage; 4) remind them that one man or woman of principle can always make a difference,1,"The mission emphasizes educating students in mind, body, and spirit, which suggests a holistic approach often associated with faith-based organizations."
mission is to connect the biddeford community with materials programs services and other informational and cultural resources enabling fuller better and richer lives,0,The mission focuses on community connection and cultural resources without any religious or faith-based language.
mercy hospital carries out the healing work of christ by providing clinically excellent compassionate healthcare for all with special concern for the poor and disadvantaged,1,"The mission mentions 'the healing work of Christ' and emphasizes compassion and concern for the poor, which aligns with religious themes."
north yarmouth academy is an independent college preparatory coeducational day school serving students in toddler through grade twelve the school offers a structured program that sets clear standards and high expectations in an environment that emphasizes values of mutual respect trust and community north yarmouth academy is dedicated to fostering integrity character and intellect in young adults,0,"The mission focuses on education and values such as respect and integrity, without any religious or faith-based references."
operating a summer camp,0,"The mission focuses on operating a summer camp, which is a secular activity and does not indicate any religious or faith-based motivation."
the patten free library transforms lives inspires lifelong learning preserves local history and builds community through joyful creative,0,"The mission focuses on education, community building, and preserving history, which are secular activities."
the mission of catherine morrill day nursery is to promote the young child's total development within a safe and nurturing environment and to support families and community,0,The mission focuses on child development and community support without any religious or faith-based language.
to inspire and enable all young people especially those who need usmost to realize their full potential as responsible productive andcaring citizens,0,"The mission focuses on inspiring and enabling young people to realize their potential as responsible citizens, which is a secular activity and does not mention any religious concepts."
the associations primary purposes are to provide home health and community health promotion services in brunswick bath and surrounding communities,0,"The mission focuses on healthcare and community health promotion services, which are secular activities."
redington memorial hospital association's sole mission is to support & benefit redington fairview general hospital a 501(c)(3) organization,0,"The mission focuses on supporting a hospital, which is a secular activity and does not mention any religious or faith-based concepts."
"st mary's regional medical center is a 233-licensed bed acute care facility that offers the best of medical technology preventive services and a """"whole person approach"""" to meeting the needs of the androscoggin county areast mary's regional medical center offers a full range of inpatient and outpatient services to meet the growing and changing needs of the community our professional qualified staff are able to deliver cardiopulmonary laboratory nursing oncology rheumatology behavioral services physical therapy radiology social and surgical services with the personalized touch designed to make our patients feel more relaxed and at home",0,"The mission focuses on providing medical services and healthcare, which are secular activities without any religious or faith-based motivation."
st mary's d'youville pavilion is one of the largest nursing homes north of boston and the flagship component of the elder care services offered through st mary's health system the pavilion offers not only a state of the art rehab center and a newly opened specialty care rehab suite but also a specialized dementia care unit along with skilled and long-term care d'youville also offers the most advanced technology and skilled nursing care in the region more importantly its employees provide respect care and compassion to every resident everyone living at st mary's d'youville pavillion whether for a short transitional stay or as part of a long-term plan may take part in a broad range of social activities and personal care services,0,The mission focuses on healthcare services and nursing care without any religious or faith-based references.
the united way of androscoggin county's mission is to increase the organized capacity of people who live in androscoggin county to care for one another,1,"The mission emphasizes community care and betterment, which aligns with faith-based charity principles."
to offer lower middle and upper school education which engages the imagination and intellect of its students guides them towards self-governance and self-knowledge and encourages their responsible and caring participation in the world,0,The mission focuses on education and personal development without any religious or faith-based references.
the auburn-lewiston ymca is a character-building organization dedicated to strengthening christian principles of caring honesty respect and responsibility through programs that will build a healthy spirit mind and body for all regardless of ability to pay,1,The mission mentions 'christian principles' and emphasizes character-building in a way typical of faith-based organizations.
the y is a powerful association of men women and children of all ages and from all walks of life joined together by a shared passion: to strengthen the foundation of community with a commitment to nurturing the potential of kids promoting healthy living and fostering a sense of social responsibility the y ensures that every individual has access to the essentials needed to learn grow and thrive anchored in more than 10000 neighborhoods around the country the y has the long standing relationships and physical presence not just to promise but to deliver lasting personal and social change,0,"The mission focuses on community strengthening, healthy living, and social responsibility without any religious or faith-based language."
the ywca provides programs that eliminate racism and empower women including affordable housing for women & girls teen education and activities for children,0,"The mission focuses on eliminating racism and empowering women through affordable housing and education, which are secular activities."
to offer programs and services which increase the capabilities and improve the lives of women teens and families of all faiths and backgrounds the organization's programs address social personal and economic concerns as well as provide opportunities for individuals to work together to meet community needs,0,"The mission focuses on improving lives and addressing social, personal, and economic concerns without a clear religious motivation."
to inspire new learning about the wabanaki nations with every visit,0,"The mission focuses on education and cultural learning about the Wabanaki nations, which is a secular activity."
bates is a college of the liberal arts and sciences and is a coeducational nonsectarian residential college with special commitments to academic rigor and to assuring in all of its efforts the dignity of each individual and access to its programs and opportunities by qualified learners bates offers a curriculum and faculty that challenge students to attain intellectual achievements and to develop powers of critical assessment analysis expression aesthetic sensibility and independent thought the college sponsors cultural volunteer athletic social and religious opportunities which are open to all students and values participation in these activities,0,"The mission focuses on academic rigor, intellectual achievements, and various opportunities without a strong emphasis on religious or faith-based motivations."
calais regional hospital exists to provide and plan patient care educational and restorative services that meet our customer's expectations commensurate with available resources,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
to provide kids of all ages with deep connections to the land vibrant community and the confidence to create their sense of place in the world,0,The mission focuses on community connection and personal development without any religious or faith-based language.
to promote the independence dignity and individuality of older people of all financial abilities by offering stimulating and supportive programs and services in a gracious urban residential setting,0,"The mission focuses on promoting independence and dignity for older people through supportive programs, which is a secular activity."
miles memorial hospital is dedicated to maintaining and improving the health of our communities by assuring: the very best highest quality and compassionate health care services from highly trained professionals; our services are cost-effective and accessible to all regardless of their ability to pay; as a not-for-profit charitable organizations we will be trustworthy stewards of our resources; our active participation and support of the mainehealth family,0,The mission focuses on healthcare services and community health improvement without any religious or faith-based language.
mount desert island hospital's mission is to provide compassionate care and strengthen the health of our community by embracing tomorrow's methods and respecting time-honored values,0,The mission focuses on providing healthcare and community health without any religious or faith-based references.
the mount desert nursing association serves the town of mount desert in homecare services free health assessments cooking instruction a loan closet and numerous other health programs that protect and promote the health of our residents,0,The mission focuses on healthcare services and community health programs without any religious or faith-based motivation.
sweetser provides quality treatment support and hope to children adults and families through a network of mental health behavioral health and educational services,0,The mission focuses on mental health and educational services without any religious or faith-based language.
the university's mission is to provide students with a highly integrated learning experience that promotes excellence through interdisciplinary collaboration and innovation in education research and service,0,"The mission focuses on education, research, and service without any religious or faith-based elements."
the purpose of the kennebec valley ymca is to provide the community with an inspirational environment for the enrichment of all people through social recreational and learning activities caring honesty respect and responsibility are the basis for all we do,0,The mission focuses on community enrichment and social activities without any religious or faith-based references.
the y's mission is to seek to promote the spiritual physical and mental welfare of all the people it serves,1,"The mission mentions 'spiritual' welfare, indicating a religious or faith-based motivation."
through programs the ymca promotes healthy living as well as fostering a sense of social responsibility the goal is to ensure that every individual has access to the essentials needed to learn grow and thrive,0,The mission focuses on promoting healthy living and social responsibility without any religious or faith-based language.
the mission of the sanford-springvale ymca is to promote values of caring honesty respect and responsibility to build healthy spirit mind and body and to improve the quality of life for all members of sanford-springvale ymca and the surrounding communities,0,The mission focuses on promoting values and improving quality of life without any religious or faith-based references.
provide health services to the camden area community,0,"The mission focuses on providing health services, which is a secular activity and does not indicate any religious motivation."
"""""st joseph healthcare-committed to wellness promotion and holistic healing-provides healthcare services which embody compassion competence and community""""  not just words but a way of life - a noble statement of what we are meticulously crafted after thoughtful consideration study and examination of all the things we do big and small day and night caring for our patients these are the words we live by each and every one of us who comprise the caring community of st joseph healthcare we take our mission seriously those we serve depend on it st joseph hospital provides quality medical healthcare regardless of race creed sex national origin handicap age sexual orientation or ability to pay although reimbursement for services rendered is critical to operation and stability it is recognized that not all individuals possess the ability to purchase essential medical services and further that our mission is to serve the community with respect to providing healthcare s",0,The mission focuses on healthcare services and wellness promotion without mentioning any religious or faith-based concepts.
mci pledges to provide a rigorous comprehensive educational program to a multicultural student body with a wide range of abilities and interests in a safe and caring atmosphere students will acquire knowledge self-esteem social responsibility and the critical thinking and communication skills necessary for global citizenship and lifelong learning,0,"The mission focuses on providing education and fostering skills for global citizenship, with no religious or faith-based elements."
the society's mission is to provide maine children and adults with disabilities the opportunities and the means to create better lives for themselves and their families,0,The mission focuses on providing opportunities for individuals with disabilities and does not mention any religious or faith-based concepts.
community hospital,0,The mission focuses on healthcare services and does not mention any religious or faith-based concepts.
the animal refuge league of greater portland nurtures the connection between people and pets to advance animal welfare and improve the quality of life in our community,0,The mission focuses on animal welfare and community improvement without any religious or faith-based language.
rooted in and professing fidelity to the teachings of jesus christ and the doctrines and heritage of the roman catholic church saint joseph's college sponsored by the sisters of mercy is a liberal arts college that nurtures intellectual spiritual and social growth in students of all ages and all faiths within a value centered environment,1,"The mission mentions Jesus Christ, the Roman Catholic Church, and emphasizes spiritual growth, indicating a religious focus."
to rescue rehabilitate or re-home large animals particularly equines,0,"The mission focuses on the rescue and rehabilitation of large animals, which is a secular activity and does not mention any religious or faith-based motivation."
public library services,0,"The mission focuses on providing public library services, which is a secular activity."
to provide non-acute in-home nursing services and community health services for the residents of rockland and surrounding communities focusing on individuals who otherwise might not have access to in-home nursing care,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
to provide a full range of living options high-quality health services and individualized care plans designed to respect older adults' varied interests abilities and needs and promote independence and well-being,0,"The mission focuses on healthcare and individualized care for older adults, with no religious or faith-based elements."
eastport memorial nursing home is a non-profit free standing corporation existing for the purpose of providing quality care to those in need of a skilled nursing facility care we serve those in the community who live in the city of eastport and the surrounding areas our mission is to provide quality care in a home-like environment we believe that quality care includes compassion respect and dignity for each resident,0,"The mission focuses on providing quality care in a nursing home setting, which is a secular activity and does not mention any religious or faith-based concepts."
public library,0,The mission focuses on a secular activity related to providing library services.
*see schedule o*,0,The mission does not mention any religious concepts or community betterment; it appears to be a reference to a schedule.
to provide exceptional healthcare services in a safe and trustful environment through the expertise commitment and compassion of our family of caregivers,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
to promote encourage and support financially and otherwise all activities at the library,0,"The mission focuses on supporting library activities, which is a secular activity."
to provide shelter and adoption services for unwanted animals,0,"The mission focuses on providing shelter and adoption services for animals, which is a secular activity and does not mention any religious or faith-based concepts."
to provide quality health care and health-related services directed toward continually improving the health and wellbeing of the patients and communities we serve we will provide compassionate humanistic accessible personal professional efficient cost-effective and quality services,0,"The mission focuses on providing healthcare services and improving health and wellbeing, which are secular activities."
library services,0,"The mission focuses on providing library services, which is a secular activity and does not indicate any religious or faith-based motivation."
under the governance of the hancock county trustees of public reservations woodlawn offers the people of hancock county and beyond opportunities for recreation and education on a preserved historic estate and provide connections to the region's cultural heritage through programs that arouse curiousity and entertain and the preservation of historic facilities approximately 10000 people visit the estate each year over 2500 people tour the main house 2000 people attend special events including the ellsworth antiques show afternoon teas contra dances dog shows outdoor shakespeare theatre productions and croquet tournaments visitors also participate in educational programs such as lectures and workshops on topics ranging from the preservation of wooden windows to the care of family heirlooms and from historic crafts to gardening providing year round recreational opportunities including two miles of hiking trails and croquet court the estates 180 acres are used as a public,0,"The mission focuses on recreation, education, and cultural heritage without any religious or faith-based elements."
to develop interest among its members in social and beneficial work and to enlist their efforts in constructive services,0,The mission focuses on social and beneficial work without any religious or faith-based language.
the organization operates a combined nursing and residential care facility,0,The mission focuses on healthcare services and does not mention any religious or faith-based concepts.
sanford library association is a public library which provides books and programs to the residents of the town of sanford and surrounding communities,0,"The mission focuses on providing library services and programs, which are secular activities."
the maine sea coast mission provides spiritual health and youth development programs in coastal and island communities from mid-coast to downeast maine rooted in a history of non-denominational service the mission offers hope encouragement and help to strengthen individuals families and communities,1,The mission mentions 'spiritual health' and emphasizes community support in a way typical of faith-based charities.
the organization's primary purpose is to maintain and repair common town areas including parks a beach a playground and several miles of hiking trails enjoyed by the public,0,The mission focuses on maintaining and repairing public areas and does not mention any religious or faith-based concepts.
to care for and serve our community by providing healthcare services,0,"The mission focuses on providing healthcare services, which is a secular activity and does not mention any religious or faith-based motivation."
wayfinder schools offer students the experience necessary to discover their strengths and skills connect with their families practice personal responsibility contribute to their communities and earn a high school diploma,0,The mission focuses on education and personal development without any religious or faith-based language.
the organization provides free medical services to citizens of dexter me and surrounding towns,0,"The mission focuses on providing free medical services, which is a secular activity and does not mention any religious or faith-based motivation."
to operate a private non-profit high school that serves the public interest,0,"The mission focuses on operating a high school and serving the public interest, which is a secular activity."
the mission statement of the club shall be to provide opportunities for instruction coaching training and enjoyment for alpine skiing snowboarding nordic skiing and other recreational activities undertaken at the titcomb mountain recreational area that is owned and operated by franklin ski and outing club inc,0,"The mission focuses on recreational activities and instruction related to skiing and snowboarding, with no mention of religious or faith-based concepts."
the organization's primary exempt purpose is to provide for the care of the sick to give instruction in nursing care in the home and to help raise the standards of community health by emphasizing prevention of disease for the residents of boothbay boothbay harbor and southport maine,0,The mission focuses on healthcare and community health improvement without any religious or faith-based motivation.
to provide library services to the public,0,"The mission focuses on providing library services, which is a secular activity."
provide housing and services to retired individuals,0,"The mission focuses on providing housing and services, which are secular activities and do not indicate a religious motivation."
to ensure a high quality accessible affordable and appropriate integrated health care system to improve the health and well being of the community,0,The mission focuses on healthcare and community well-being without any religious or faith-based motivation.
the northeast harbor library serves everyone from the town of mount desert the town of cranberry isles and their surrounding communities who seek information enlightenment and the pleasure that comes from the life of the mind,0,"The mission focuses on providing information and enlightenment through a library, which is a secular activity."
the lincoln home provides senior living options for elderly residents in an environment fostering dignity safety comfort and the enjoyment of meaningful lives,0,The mission focuses on providing senior living options and does not mention any religious or faith-based concepts.
the purposes of the corporation are to maintain and support physician-directed health care and to engage in and conduct charitable educational and scientific activities,0,The mission focuses on healthcare and educational activities without any religious or faith-based motivation.
the library provides books services and programs to the residents of the town of north berwick and surrounding towns,0,"The mission focuses on providing library services and programs, which are secular activities."
to provide a program for young men in a unique one-year postgraduate environment to prepare for the rigors of college and beyond,0,The mission focuses on preparing young men for college and does not mention any religious or faith-based elements.
fairview hospital inc's sole mission is to operate to support and benefit redington-fariview general hospital a 501(c)(3) organization,0,"The mission focuses on operating a hospital and supporting healthcare, which is a secular activity."
to conduct a summer assembly in the chautauqua tradition the purpose of the ocean park association is to affirm the traditions and spiritual heritage of which we are heirs through a summer assembly program where christian worhsip principles and ideals are at the focus; where diversity is celebrated and dignity of all is embraced and respected; where the natural beauty of our seaside resort is conserved and enhanced; and where programs centered on religion education recreation and culture provide opportunities for individual growth and family enrichment,1,"The mission mentions Christian worship principles and ideals, affirming spiritual heritage, and includes a focus on religion and individual growth in a faith-based context."
millinocket regional hospital (mrh) is a critical access hospital that provides access to excellence in healthcare,0,The mission focuses on providing healthcare services and does not mention any religious or faith-based concepts.
berwick academy founded in 1791 is dedicated to promoting virtue and useful knowledge among the rising generations,0,"The mission focuses on promoting virtue and knowledge, which are secular educational goals, without any religious references."
conduct the skowhegan state fair which is an agricultural fair principal activities and exhibits are educational and conducted in such a fashion and on such subjects to enlighten the viewers on the newest and best agricultural techniques,0,"The mission focuses on conducting an agricultural fair with educational activities, which is a secular purpose."
we are an independent learning center which supports and promotes the ideals of life-long learning our library assembles preserves and administers in accessible and organized collections books and related materials in order to provide stimulation enlightenment and enrichment to our community of users,0,The mission focuses on education and library services without any religious or faith-based motivation.
operation of a free public library and create a welcoming space in which to explore ideas create community and nurture individual growth via open access to the tools to learn dream connect and do,0,"The mission focuses on operating a public library and fostering community and individual growth, which are secular activities."
high school education,0,The mission focuses on secular education and does not mention any religious or faith-based concepts.
to operate a non-profit private school for students from middle school to high school and to inspire and guide students to reach their highest potential in mind body and spirit our core values are fundamental to the hebron experience,1,"The mission emphasizes inspiring and guiding students to reach their highest potential in mind, body, and spirit, which suggests a focus on spiritual growth."
androscoggin home care & hospice is committed to caring for the health independence and quality of life of residents in central and western maine in the comfort of their home and community,0,The mission focuses on healthcare and quality of life without any religious or faith-based motivation.
blue hill memorial hospital is dedicated to improving the health and wellness of our communities by providing primary and specialty health care of outstanding quality and caring for our patients with respect and compassion,0,The mission focuses on healthcare and wellness without any religious or faith-based language.
the mission of the educational bureau of ocean park is to promote and encourage the mental physical and spiritual culture of the ocean park community through work's of a non-profit nature the bureau sponsors bible school theater dance camp ecology camp art camp and beach olympics,1,"The mission mentions 'bible school' and emphasizes 'spiritual culture', indicating a religious focus."
northeast hearing and speech is a non-profit hearing and speech center that has been serving the communities of maine and new hampshire since 1924 audiologists and speech-language pathologists provide comprehensive hearing evaluations speech-language evaluations and therapy for children and adults nhs also dispenses and services hearing aids,0,"The mission focuses on providing hearing and speech services, which are secular activities and do not indicate a religious motivation."
